PartNo	HezbNo	Rob3	PageNo	sw_id	chnamear	cntVerse
1	1	1	1	1	الفاتحة	7
1	1	1	2	2	البقرة	286
3	5	20	50	3	آل عمران	200
4	8	31	77	4	النساء	176
6	11	43	106	5	المائدة	120
7	13	51	128	6	الأنعام	165
8	16	61	151	7	الأعراف	206
9	18	71	177	8	الأنفال	75
10	19	75	187	9	التوبة	129
11	21	83	208	10	يونس	109
11	22	88	221	11	هود	123
12	24	94	235	12	يوسف	111
13	25	99	249	13	الرعد	43
13	26	102	255	14	ابراهيم	52
14	27	105	262	15	الحجر	99
14	27	107	267	16	النحل	128
15	29	113	282	17	الإسراء	111
15	30	117	293	18	الكهف	110
16	31	122	305	19	مريم	98
16	32	125	312	20	طه	135
17	33	129	322	21	الأنبياء	112
17	34	133	332	22	الحج	78
18	35	137	342	23	المؤمنون	118
18	35	140	350	24	النور	64
18	36	144	359	25	الفرقان	77
19	37	147	367	26	الشعراء	227
19	38	151	377	27	النمل	93
20	39	154	385	28	القصص	88
20	40	159	396	29	العنكبوت	69
21	41	162	404	30	الروم	60
21	41	164	411	31	لقمان	34
21	42	165	415	32	السجدة	30
21	42	167	418	33	الأحزاب	73
22	43	171	428	34	سبإ	54
22	44	174	434	35	فاطر	45
22	44	176	440	36	يس	83
23	45	178	446	37	الصافات	182
23	46	181	453	38	ص	88
23	46	183	458	39	الزمر	75
24	47	187	467	40	غافر	85
24	48	190	477	41	فصلت	54
25	49	193	483	42	الشورى	53
25	49	196	489	43	الزخرف	89
25	50	198	496	44	الدخان	59
25	50	199	499	45	الجاثية	37
26	51	201	502	46	الأحقاف	35
26	51	202	507	47	محمد	38
26	51	204	511	48	الفتح	29
26	52	206	515	49	الحجرات	18
26	52	207	518	50	ق	45
26	52	208	520	51	الذاريات	60
27	53	209	523	52	الطور	49
27	53	210	526	53	النجم	62
27	53	211	528	54	القمر	55
27	54	213	531	55	الرحمن	78
27	54	214	534	56	الواقعة	96
27	54	215	537	57	الحديد	29
28	55	217	542	58	المجادلة	22
28	55	218	545	59	الحشر	24
28	55	219	549	60	الممتحنة	13
28	55	220	551	61	الصف	14
28	56	221	553	62	الجمعة	11
28	56	221	554	63	المنافقون	11
28	56	222	556	64	التغابن	18
28	56	223	558	65	الطلاق	12
28	56	224	560	66	التحريم	12
29	57	225	562	67	الملك	30
29	57	226	564	68	القلم	52
29	57	227	566	69	الحاقة	52
29	57	227	568	70	المعارج	44
29	57	228	570	71	نوح	28
29	58	229	572	72	الجن	28
29	58	229	574	73	المزمل	20
29	58	230	575	74	المدثر	56
29	58	231	577	75	القيامة	40
29	58	231	578	76	الانسان	31
29	58	232	580	77	المرسلات	50
30	59	233	582	78	النبإ	40
30	59	233	583	79	النازعات	46
30	59	234	585	80	عبس	42
30	59	234	586	81	التكوير	29
30	59	235	587	82	الإنفطار	19
30	59	235	587	83	المطففين	36
30	59	236	589	84	الإنشقاق	25
30	59	236	590	85	البروج	22
30	59	236	591	86	الطارق	17
30	60	237	591	87	الأعلى	19
30	60	237	592	88	الغاشية	26
30	60	237	593	89	الفجر	30
30	60	238	594	90	البلد	20
30	60	238	595	91	الشمس	15
30	60	238	595	92	الليل	21
30	60	238	596	93	الضحى	11
30	60	239	596	94	الشرح	8
30	60	239	597	95	التين	8
30	60	239	597	96	العلق	19
30	60	239	598	97	القدر	5
30	60	239	598	98	البينة	8
30	60	239	599	99	الزلزلة	8
30	60	239	599	100	العاديات	11
30	60	240	600	101	القارعة	11
30	60	240	600	102	التكاثر	8
30	60	240	601	103	العصر	3
30	60	240	601	104	الهمزة	9
30	60	240	601	105	الفيل	5
30	60	240	602	106	قريش	4
30	60	240	602	107	الماعون	7
30	60	240	602	108	الكوثر	3
30	60	240	603	109	الكافرون	6
30	60	240	603	110	النصر	3
30	60	240	603	111	المسد	5
30	60	240	604	112	الإخلاص	4
30	60	240	604	113	الفلق	5
30	60	240	604	114	الناس	6
