"pageno"	"vind"	"chix"
1	1	1
2	1	2
3	6	2
4	17	2
5	25	2
6	30	2
7	38	2
8	49	2
9	58	2
10	62	2
11	70	2
12	77	2
13	84	2
14	89	2
15	94	2
16	102	2
17	106	2
18	113	2
19	120	2
20	127	2
21	135	2
22	142	2
23	146	2
24	154	2
25	164	2
26	170	2
27	177	2
28	182	2
29	187	2
30	191	2
31	197	2
32	203	2
33	211	2
34	216	2
35	220	2
36	225	2
37	231	2
38	234	2
39	238	2
40	246	2
41	249	2
42	253	2
43	257	2
44	260	2
45	265	2
46	270	2
47	275	2
48	282	2
49	283	2
50	1	3
51	10	3
52	16	3
53	23	3
54	30	3
55	38	3
56	46	3
57	53	3
58	62	3
59	71	3
60	78	3
61	84	3
62	92	3
63	101	3
64	109	3
65	116	3
66	122	3
67	133	3
68	141	3
69	149	3
70	154	3
71	158	3
72	166	3
73	174	3
74	181	3
75	187	3
76	195	3
77	1	4
78	7	4
79	12	4
80	15	4
81	20	4
82	24	4
83	27	4
84	34	4
85	38	4
86	45	4
87	52	4
88	60	4
89	66	4
90	75	4
91	80	4
92	87	4
93	92	4
94	95	4
95	102	4
96	106	4
97	114	4
98	122	4
99	128	4
100	135	4
101	141	4
102	148	4
103	155	4
104	163	4
105	171	4
106	176	4
107	3	5
108	6	5
109	10	5
110	14	5
111	18	5
112	24	5
113	32	5
114	37	5
115	42	5
116	46	5
117	51	5
118	58	5
119	65	5
120	71	5
121	77	5
122	83	5
123	90	5
124	96	5
125	104	5
126	109	5
127	114	5
128	1	6
129	9	6
130	19	6
131	28	6
132	36	6
133	45	6
134	53	6
135	60	6
136	69	6
137	74	6
138	82	6
139	91	6
140	95	6
141	102	6
142	111	6
143	119	6
144	125	6
145	132	6
146	138	6
147	143	6
148	147	6
149	152	6
150	158	6
151	1	7
152	12	7
153	23	7
154	31	7
155	38	7
156	44	7
157	52	7
158	58	7
159	68	7
160	74	7
161	82	7
162	88	7
163	96	7
164	105	7
165	121	7
