,wikiuri,chname
0,http://www.wikidata.org/entity/Q233800,سورة الماعون
1,http://www.wikidata.org/entity/Q233811,سورة الكوثر
2,http://www.wikidata.org/entity/Q219669,سورة الفاتحة
3,http://www.wikidata.org/entity/Q219675,سورة البقرة
4,http://www.wikidata.org/entity/Q233766,سورة الفيل
5,http://www.wikidata.org/entity/Q233788,سورة قريش
6,http://www.wikidata.org/entity/Q233731,سورة العصر
7,http://www.wikidata.org/entity/Q233747,سورة الهمزة
8,http://www.wikidata.org/entity/Q219696,سورة النساء
9,http://www.wikidata.org/entity/Q219701,سورة المائدة
10,http://www.wikidata.org/entity/Q233842,سورة النصر
11,http://www.wikidata.org/entity/Q234196,سورة المسد
12,http://www.wikidata.org/entity/Q219906,سورة إبراهيم
13,http://www.wikidata.org/entity/Q219933,سورة الحجر
14,http://www.wikidata.org/entity/Q219713,سورة الأعراف
15,http://www.wikidata.org/entity/Q219720,سورة الأنفال
16,http://www.wikidata.org/entity/Q219682,سورة آل عمران
17,http://www.wikidata.org/entity/Q220495,سورة النحل
18,http://www.wikidata.org/entity/Q220678,سورة الإسراء
19,http://www.wikidata.org/entity/Q219707,سورة الأنعام
20,http://www.wikidata.org/entity/Q219786,سورة هود
21,http://www.wikidata.org/entity/Q219815,سورة يوسف
22,http://www.wikidata.org/entity/Q220706,سورة الكهف
23,http://www.wikidata.org/entity/Q220716,سورة مريم
24,http://www.wikidata.org/entity/Q234214,سورة الإخلاص
25,http://www.wikidata.org/entity/Q234228,سورة الفلق
26,http://www.wikidata.org/entity/Q220733,سورة طه
27,http://www.wikidata.org/entity/Q220757,سورة الأنبياء
28,http://www.wikidata.org/entity/Q219871,سورة الرعد
29,http://www.wikidata.org/entity/Q220809,سورة النور
30,http://www.wikidata.org/entity/Q220983,سورة الفرقان
31,http://www.wikidata.org/entity/Q221013,سورة الشعراء
32,http://www.wikidata.org/entity/Q221025,سورة النمل
33,http://www.wikidata.org/entity/Q24000496,سورة الكافرون
34,http://www.wikidata.org/entity/Q220770,سورة الحج
35,http://www.wikidata.org/entity/Q220785,سورة المؤمنون
36,http://www.wikidata.org/entity/Q221081,سورة الروم
37,http://www.wikidata.org/entity/Q223754,سورة لقمان
38,http://www.wikidata.org/entity/Q234248,سورة الناس
39,http://www.wikidata.org/entity/Q221044,سورة القصص
40,http://www.wikidata.org/entity/Q221060,سورة العنكبوت
41,http://www.wikidata.org/entity/Q229842,سورة السجدة
42,http://www.wikidata.org/entity/Q229923,سورة الأحزاب
43,http://www.wikidata.org/entity/Q230133,سورة ص
44,http://www.wikidata.org/entity/Q230153,سورة الزمر
